principal component 1,principal component 2,principal component 3,Species,dataset,LandCover,Tool,Sensor,Site,Al_area_mg_cm2,Al_mass_mg_g,Anth_area_ug_cm2,Anth_mass_mg_g,Boron_area_mg_cm2,Boron_mass_mg_g,C_area_mg_cm2,C_mass_mg_g,Ca_area_mg_cm2,Ca_mass_mg_g,Car_area_ug_cm2,Car_mass_mg_g,Cellulose_mg_cm2,Cellulose_mg_g,Chl_area_ug_cm2,Chl_mass_mg_g,Cu_area_mg_cm2,Cu_mass_mg_g,EWT_mg_cm2,Fiber_mg_cm2,Fiber_mg_g,Flavonoids_area_mg_cm2,Flavonoids_mass_mg_g,Iron_area_mg_cm2,Iron_mass_mg_g,LAI_m2_m2,LMA_g_m2,LDMC_g_g,LWC%,Lignin_mg_cm2,Lignin_mg_g,Mg_area_mg_cm2,Mg_mass_mg_g,Mn_area_mg_cm2,Mn_mass_mg_g,N_area_mg_cm2,N_mass_mg_g,NSC_mg_cm2,NSC_mg_g,Phenolics_area_mg_cm2,Phenolics_mass_mg_g,P_area_mg_cm2,P_mass_mg_g,Potassium_area_mg_cm2,Potassium_mass_mg_g,Protein_g_m2,RWC%,Starch_area_mg_cm2,Starch_mass_mg_g,Sugar_area_mg_cm2,Sugar_mass_mg_g,S_area_mg_cm2,S_mass_mg_g,Zn_mass_mg_g
-7.7606215,-14.255425,-4.0072675,Agrostis sp,1,Grassland,Proximal,ASD FieldSpec 3,"BattSP, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.010938365,5.7556,-99.0,-99.0,-99.0,-99.0,19.33997867,10.17640049,-99.0,-99.0,6.019981554,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,19.00473422,0.239944981,76.00550186,-99.0,-99.0,0.003696421,1.945,-99.0,-99.0,0.051647262,27.175998,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
21.171198,0.23579076,-7.7211146,Agrostis sp,1,Grassland,Proximal,SVC HR-1024TM,"DeMatCem, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.012191345,4.371190763,-99.0,-99.0,-99.0,-99.0,24.07812286,8.633179727,-99.0,-99.0,6.617554218,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,27.89021383,0.296496993,70.35030067,-99.0,-99.0,0.005759905,2.065206627,-99.0,-99.0,0.060400645,21.656573,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
17.29917,-23.709549,-9.538414,Agrostis sp,1,Grassland,Proximal,SVC HR-1024TM,"HaachtBev, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.016675043,4.635952142,-99.0,-99.0,-99.0,-99.0,19.01040153,5.28522253,-99.0,-99.0,6.612722633,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,35.96897089,0.352304707,64.76952926,-99.0,-99.0,0.00451681,1.255751744,-99.0,-99.0,0.095978433,26.683675,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
-11.709053,-13.966704,-9.70222,Agrostis sp,1,Grassland,Proximal,ASD FieldSpec 3,"HaachtHol, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.012687347,4.028508982,-99.0,-99.0,-99.0,-99.0,25.50478552,8.098324666,-99.0,-99.0,7.095194003,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,31.49390346,0.307420022,69.2579978,-99.0,-99.0,0.003512179,1.115193214,-99.0,-99.0,0.082232654,26.110658,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
-6.0751877,-8.846379,4.2673807,Angelica sylvestris,1,Grassland,Proximal,SVC HR-1024TM,"HaachtBev, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.125558682,24.73090551,-99.0,-99.0,-99.0,-99.0,11.52918621,2.270868165,-99.0,-99.0,12.71285039,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,50.76994952,0.285387245,71.46127549,-99.0,-99.0,0.011551063,2.275177165,-99.0,-99.0,0.073144104,14.406968,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
-1.071737,-7.3687286,1.3832613,Arrhenaterum elatius,1,Grassland,Proximal,SVC HR-1024TM,"DeMatCem, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.010789872,3.807051459,-99.0,-99.0,-99.0,-99.0,23.12853602,8.160571908,-99.0,-99.0,6.949855171,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,28.34180776,0.289673995,71.03260054,-99.0,-99.0,0.004670719,1.647996209,-99.0,-99.0,0.085647211,30.219389,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
8.24864,-3.9748938,-8.034754,Arrhenatherum elatius,1,Grassland,Proximal,SVC HR-1024TM,"DeMatSpo, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.01200851,4.367871486,-99.0,-99.0,-99.0,-99.0,26.74102578,9.726549554,-99.0,-99.0,7.146532222,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,27.49281811,0.277822704,72.21772962,-99.0,-99.0,0.005297723,1.926947791,-99.0,-99.0,0.085081551,30.946828,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
51.741966,-1.4205458,-14.075218,Calamgrostis epigejos,1,Grassland,Proximal,SVC HR-1024TM,"HeverleeKapel, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.01955494,2.731726908,-99.0,-99.0,-99.0,-99.0,23.21848045,3.243505119,-99.0,-99.0,10.46521947,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,71.58453461,0.406183971,59.38160286,-99.0,-99.0,0.004969519,0.694216867,-99.0,-99.0,0.114687831,16.021314,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
41.315918,6.176181,4.0016747,Calystegia sepium,1,Grassland,Proximal,ASD FieldSpec 3,"BattN, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.02035173,8.8604,-99.0,-99.0,-99.0,-99.0,24.4125549,10.62833502,-99.0,-99.0,11.89283987,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,22.96931256,0.161872326,83.81276741,-99.0,-99.0,0.003589506,1.56274,-99.0,-99.0,0.07432655,32.359066,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
-3.1543133,-8.869296,1.845623,Calystegia sepium,1,Grassland,Proximal,ASD FieldSpec 3,"DoBeI, Belgium",-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,0.022024478,11.512,-99.0,-99.0,-99.0,-99.0,20.81039549,10.87740963,-99.0,-99.0,10.57322558,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,19.13175673,0.153220743,84.67792574,-99.0,-99.0,0.003670772,1.91868,-99.0,-99.0,0.080796914,42.231832,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0,-99.0
